Fecha,Media AIFS t2m (K),Media IFS t2m (K),Diferencia t2m (K),Max AIFS t2m (K),Max IFS t2m (K),Min AIFS t2m (K),Min IFS t2m (K),Media AIFS tp (mm),Media IFS tp (mm),Diferencia tp (mm),Max AIFS tp (mm),Max IFS tp (mm),Min AIFS tp (mm),Min IFS tp (mm)
2025-04-14,283.4736881937142,283.6211843616304,-0.14749616791618791,308.6978,309.4133,263.5316,260.01736,0.020416299923488403,0.02284798416834007,-0.0024316842448516666,0.15871875,0.19140625,0.0,0.0
2025-04-15,284.55451706784453,283.3279878164888,1.2265292513557142,309.1346,309.7713,262.62875,259.1193,0.02011617277294076,0.026288262097852802,-0.00617208932491204,0.15910938,0.1976471,0.0,0.0
2025-04-16,285.15187506174755,284.74033994317773,0.41153511856981595,308.80048,308.67963,260.10632,259.3676,0.02254675920150921,0.02766534894473423,-0.0051185897432250195,0.17076562,0.27638245,0.0,0.0
Promedio,284.39336010776873,283.8965040404323,0.49685606733644744,308.8776266666667,309.28807666666665,262.08889000000005,259.50142,0.021026410632646125,0.0256005317369757,-0.004574121104329576,0.16286458333333334,0.22181193333333335,0.0,0.0
